2018-12-23__10:16:38 0.65,0.57 31.65 45°C normal
2018-12-23__10:16:43 0.64,0.56 40.79 45°C normal
2018-12-23__10:16:49 0.62,0.56 33.84 45°C normal
2018-12-23__10:16:55 0.63,0.56 32.48 45°C normal
2018-12-23__10:17:00 0.62,0.56 42.00 44°C normal
2018-12-23__10:17:06 0.63,0.56 32.17 44°C normal
2018-12-23__10:17:12 0.65,0.57 36.45 44°C normal
2018-12-23__10:17:17 0.64,0.57 55.22 45°C normal
2018-12-23__10:17:23 0.63,0.56 47.15 45°C normal
2018-12-23__10:17:28 0.62,0.56 40.29 45°C normal
2018-12-23__10:17:34 0.61,0.56 33.16 44°C normal
2018-12-23__10:17:40 0.60,0.55 47.44 45°C normal
2018-12-23__10:17:45 0.59,0.55 36.97 44°C normal
2018-12-23__10:17:53 0.57,0.54 28.43 44°C normal
2018-12-23__10:17:58 0.58,0.55 29.35 43°C normal
2018-12-23__10:18:04 0.57,0.54 27.55 42°C normal
2018-12-23__10:18:10 0.56,0.54 41.96 44°C normal
2018-12-23__10:18:15 0.55,0.54 52.00 45°C normal
2018-12-23__10:18:21 0.56,0.54 28.50 43°C normal
2018-12-23__10:18:27 0.55,0.54 26.94 42°C normal
2018-12-23__10:18:32 0.54,0.53 28.00 42°C normal
2018-12-23__10:18:38 0.54,0.53 41.53 43°C normal
2018-12-23__10:18:44 0.55,0.54 30.00 44°C normal
2018-12-23__10:18:49 0.54,0.53 27.86 44°C normal
2018-12-23__10:18:55 0.53,0.53 29.00 42°C normal
2018-12-23__10:19:00 0.52,0.53 34.34 44°C normal
2018-12-23__10:19:06 0.51,0.52 29.08 44°C normal
2018-12-23__10:19:12 0.50,0.52 26.86 42°C normal
2018-12-23__10:19:17 0.53,0.53 28.71 44°C normal
