2018-12-22__20:40:20 0.39 54.27 50°C normal
2018-12-22__20:40:25 0.40 53.00 51°C note
2018-12-23__10:09:11 2.36 45.22 43°C normal
2018-12-23__10:09:17 2.36 50.25 44°C normal
2018-12-23__10:09:23 2.37 47.71 44°C normal
2018-12-23__10:09:31 2.37 44.38 44°C normal
2018-12-23__10:09:37 2.37 49.75 45°C normal
2018-12-23__10:09:43 2.38 47.91 45°C normal
2018-12-23__10:09:48 2.38 47.73 45°C normal
2018-12-23__10:09:54 2.38 48.50 44°C normal
2018-12-23__10:09:59 2.37 47.42 45°C normal
2018-12-23__10:10:05 2.37 52.04 45°C normal
2018-12-23__10:10:10 2.37 46.96 44°C normal
2018-12-23__10:10:16 2.37 51.01 45°C normal
2018-12-23__10:10:22 2.37 46.90 44°C normal
2018-12-23__10:10:27 2.36 45.17 44°C normal
2018-12-23__10:10:33 2.38 45.12 44°C normal
2018-12-23__10:10:38 2.37 45.68 44°C normal
2018-12-23__10:10:44 2.37 46.96 44°C normal
2018-12-23__10:10:49 2.37 49.74 44°C normal
2018-12-23__10:10:55 2.37 45.68 44°C normal
2018-12-23__10:11:00 2.37 52.00 44°C normal
2018-12-23__10:11:06 2.37 45.27 44°C normal
2018-12-23__10:11:13 2.37 44.04 44°C normal
2018-12-23__10:11:19 2.37 45.36 44°C normal
2018-12-23__10:11:24 2.36 50.74 45°C normal
2018-12-23__10:11:33 2.36 48.24 43°C normal
2018-12-23__10:11:39 2.36 48.95 43°C normal
2018-12-23__10:11:44 2.37 50.75 43°C normal
2018-12-23__10:11:50 2.36 46.66 43°C normal
2018-12-23__10:11:56 2.37 44.61 43°C normal
2018-12-23__10:12:01 2.37 47.47 43°C normal
2018-12-23__10:12:07 2.36 47.95 43°C normal
2018-12-23__10:12:12 2.36 52.26 43°C normal
2018-12-23__10:12:18 2.38 45.07 43°C normal
2018-12-23__10:12:24 2.38 48.73 43°C normal
2018-12-23__10:12:29 2.37 50.51 45°C normal
2018-12-23__10:12:35 2.38 47.00 45°C normal
2018-12-23__10:12:40 2.39 53.76 45°C normal
2018-12-23__10:12:46 2.40 45.87 45°C normal
2018-12-23__10:12:51 2.39 47.73 44°C normal
2018-12-23__10:12:57 2.40 44.84 44°C normal
2018-12-23__10:13:02 2.41 45.36 44°C normal
2018-12-23__10:13:08 2.41 48.22 44°C normal
2018-12-23__10:13:14 2.41 47.50 43°C normal
2018-12-23__10:13:20 2.41 45.17 44°C normal
2018-12-23__10:13:25 2.41 46.46 45°C normal
2018-12-23__10:13:34 2.41 48.45 45°C normal
2018-12-23__10:13:40 2.41 47.02 43°C normal
2018-12-23__10:13:45 2.42 50.00 43°C normal
2018-12-23__10:13:51 2.43 47.17 43°C normal
2018-12-23__10:13:56 2.43 46.90 43°C normal
2018-12-23__10:14:02 2.43 44.79 44°C normal
2018-12-23__10:14:08 2.44 45.83 45°C normal
2018-12-23__10:14:13 2.44 45.40 43°C normal
2018-12-23__10:14:19 2.43 46.63 43°C normal
2018-12-23__10:14:25 2.43 45.40 45°C normal
2018-12-23__10:14:30 2.44 45.78 43°C normal
2018-12-23__10:14:36 2.44 50.50 43°C normal
2018-12-23__10:14:41 2.44 46.19 43°C normal
2018-12-23__10:14:47 2.46 45.12 44°C normal
2018-12-23__10:14:52 2.46 46.19 44°C normal
2018-12-23__10:14:58 2.48 47.23 44°C normal
2018-12-23__10:15:03 2.48 45.64 43°C normal
2018-12-23__10:15:09 2.48 47.15 43°C normal
2018-12-23__10:15:19 2.48 47.95 45°C normal
2018-12-23__10:15:24 2.48 50.77 43°C normal
2018-12-23__10:15:30 2.49 47.54 45°C normal
2018-12-23__10:15:35 2.48 44.94 43°C normal
2018-12-23__10:15:41 2.51 49.23 45°C normal
2018-12-23__10:15:46 2.53 48.98 43°C normal
2018-12-23__10:15:52 2.54 49.48 43°C normal
2018-12-23__10:15:57 2.55 46.46 44°C normal
2018-12-23__10:16:03 2.56 46.23 43°C normal
2018-12-23__10:16:10 2.56 46.76 44°C normal
2018-12-23__10:16:15 2.56 50.51 43°C normal
2018-12-23__10:16:21 2.56 48.24 43°C normal
2018-12-23__10:16:30 2.55 43.45 43°C normal
2018-12-23__10:16:35 2.55 48.20 43°C normal
2018-12-23__10:16:41 2.55 44.16 43°C normal
2018-12-23__10:16:46 2.54 43.28 43°C normal
2018-12-23__10:16:52 2.55 52.02 44°C normal
2018-12-23__10:16:58 2.55 60.19 47°C normal
2018-12-23__10:17:03 2.56 58.37 44°C normal
2018-12-23__10:17:09 2.57 45.45 44°C normal
2018-12-23__10:17:14 2.57 44.61 43°C normal
2018-12-23__10:17:21 2.57 65.98 48°C normal
2018-12-23__10:17:26 2.57 48.20 45°C normal
2018-12-23__10:17:32 2.57 50.50 45°C normal
2018-12-23__10:17:37 2.56 59.39 47°C normal
2018-12-23__10:17:43 2.56 47.20 44°C normal
2018-12-23__10:17:49 2.56 45.95 44°C normal
2018-12-23__10:17:54 2.57 45.00 43°C normal
2018-12-23__10:18:00 2.57 45.40 45°C normal
2018-12-23__10:18:05 2.56 45.77 44°C normal
2018-12-23__10:18:14 2.55 45.72 43°C normal
2018-12-23__10:18:19 2.55 44.16 44°C normal
2018-12-23__10:18:25 2.55 46.56 43°C normal
2018-12-23__10:18:34 2.55 44.10 44°C normal
2018-12-23__10:18:39 2.55 45.12 43°C normal
2018-12-23__10:18:45 2.55 46.73 45°C normal
2018-12-23__10:18:51 2.55 45.95 43°C normal
2018-12-23__10:18:56 2.55 46.19 44°C normal
2018-12-23__10:19:02 2.54 45.95 43°C normal
2018-12-23__10:19:07 2.55 45.68 43°C normal
2018-12-23__10:19:13 2.54 43.71 43°C normal
2018-12-23__10:19:18 2.55 48.29 43°C normal
2018-12-23__10:19:24 2.55 46.93 43°C normal
2018-12-23__10:19:30 2.54 44.04 43°C normal
2018-12-23__10:19:35 2.54 46.42 44°C normal
2018-12-23__10:19:41 2.54 43.87 43°C normal
2018-12-23__10:19:46 2.53 44.10 43°C normal
2018-12-23__10:19:52 2.56 44.94 43°C normal
2018-12-23__10:19:57 2.57 44.27 42°C normal
2018-12-23__10:20:03 2.57 44.67 43°C normal
2018-12-23__10:20:08 2.57 45.77 42°C normal
2018-12-23__10:20:17 2.57 42.48 43°C normal
2018-12-23__10:20:22 2.57 45.72 43°C normal
2018-12-23__10:20:28 2.57 46.15 43°C normal
2018-12-23__10:20:33 2.57 47.76 44°C normal
2018-12-23__10:20:39 2.57 47.93 44°C normal
2018-12-23__10:20:45 2.58 44.89 43°C normal
2018-12-23__10:20:50 2.59 44.61 43°C normal
2018-12-23__10:20:56 2.58 49.01 43°C normal
2018-12-23__10:21:01 2.58 45.17 43°C normal
2018-12-23__10:21:09 2.60 49.23 44°C normal
2018-12-23__10:21:15 2.60 44.67 44°C normal
2018-12-23__10:21:20 2.59 43.14 42°C normal
2018-12-23__10:21:29 2.59 48.48 42°C normal
2018-12-23__10:21:35 2.60 45.27 43°C normal
2018-12-23__10:21:40 2.61 44.16 42°C normal
2018-12-23__10:21:46 2.60 48.46 43°C normal
2018-12-23__10:21:51 2.61 44.38 42°C normal
2018-12-23__10:21:57 2.61 43.43 42°C normal
2018-12-23__10:22:02 2.62 49.74 42°C normal
2018-12-23__10:22:08 2.64 43.87 42°C normal
2018-12-23__10:22:13 2.64 45.27 42°C normal
2018-12-23__10:22:19 2.65 43.36 42°C normal
2018-12-23__10:22:25 2.66 51.47 43°C normal
2018-12-23__10:22:30 2.67 44.89 43°C normal
2018-12-23__10:22:36 2.66 46.19 42°C normal
2018-12-23__10:22:41 2.66 46.70 43°C normal
2018-12-23__10:22:47 2.65 44.44 42°C normal
2018-12-23__10:22:53 2.66 45.40 42°C normal
2018-12-23__10:22:58 2.66 45.12 44°C normal
2018-12-23__10:23:04 2.66 43.58 44°C normal
2018-12-23__10:23:13 2.66 43.22 43°C normal
2018-12-23__10:23:18 2.67 45.17 43°C normal
2018-12-23__10:23:24 2.68 45.40 42°C normal
2018-12-23__10:23:33 2.68 43.87 42°C normal
2018-12-23__10:23:38 2.68 45.95 42°C normal
2018-12-23__10:23:44 2.67 44.89 42°C normal
2018-12-23__10:23:49 2.66 46.03 43°C normal
2018-12-23__10:23:55 2.66 45.17 42°C normal
2018-12-23__10:24:00 2.66 45.40 42°C normal
2018-12-23__10:24:06 2.65 45.27 43°C normal
2018-12-23__10:24:12 2.66 45.07 42°C normal
2018-12-23__10:24:17 2.67 45.68 42°C normal
2018-12-23__10:24:23 2.66 44.55 44°C normal
2018-12-23__10:24:29 2.65 45.00 43°C normal
2018-12-23__10:24:34 2.65 45.12 43°C normal
2018-12-23__10:24:40 2.65 41.66 43°C normal
2018-12-23__10:24:45 2.65 52.84 44°C normal
2018-12-23__10:24:51 2.66 56.85 45°C normal
2018-12-23__10:24:56 2.65 45.72 44°C normal
2018-12-23__10:25:02 2.67 47.44 44°C normal
2018-12-23__10:25:07 2.67 46.23 44°C normal
